717	2015-10-01
1080	2015-10-02
592	2015-10-03
732	2015-10-04
0	2015-10-05
0	2015-10-06
0	2015-10-07
0	2015-10-08
0	2015-10-09
0	2015-10-10
0	2015-10-11
20	2015-10-12
68	2015-10-13
0	2015-10-14
16	2015-10-15
4	2015-10-16
0	2015-10-17
1	2015-10-18
0	2015-10-19
42	2015-10-20
348	2015-10-21
336	2015-10-22
316	2015-10-23
428	2015-10-24
556	2015-10-25
636	2015-10-26
432	2015-10-27
312	2015-10-28
504	2015-10-29
360	2015-10-30
320	2015-10-31
420	2015-11-01
544	2015-11-02
556	2015-11-03
544	2015-11-04
532	2015-11-05
532	2015-11-06
516	2015-11-07
516	2015-11-08
508	2015-11-09
509	2015-11-10
528	2015-11-11
680	2015-11-12
776	2015-11-13
876	2015-11-14
900	2015-11-15
784	2015-11-16
684	2015-11-17
900	2015-11-18
948	2015-11-19
1300	2015-11-20
1204	2015-11-21
1296	2015-11-22
1292	2015-11-23
1316	2015-11-24
1408	2015-11-25
1744	2015-11-26
1748	2015-11-27
1788	2015-11-28
1704	2015-11-29
1836	2015-11-30
1860	2015-12-01
1832	2015-12-02
1780	2015-12-03
1832	2015-12-04
2088	2015-12-05
2152	2015-12-06
2324	2015-12-07
2104	2015-12-08
2212	2015-12-09
2176	2015-12-10
2184	2015-12-11
2584	2015-12-12
2572	2015-12-13
2696	2015-12-14
2628	2015-12-15
2421	2015-12-16
2077	2015-12-17
2353	2015-12-18
2524	2015-12-19
2521	2015-12-20
2472	2015-12-21
2481	2015-12-22
2481	2015-12-23
2541	2015-12-24
2512	2015-12-25
520	2015-12-26
2437	2015-12-27
2316	2015-12-28
2460	2015-12-29
2500	2015-12-30
2540	2015-12-31
2668	2016-01-01
2673	2016-01-02
2640	2016-01-03
2601	2016-01-04
2593	2016-01-05
2604	2016-01-06
2289	2016-01-07
2592	2016-01-08
2581	2016-01-09
2349	2016-01-10
2232	2016-01-11
2225	2016-01-12
2213	2016-01-13
2293	2016-01-14
2153	2016-01-15
1864	2016-01-16
33	2016-01-17
2428	2016-01-18
2832	2016-01-19
2924	2016-01-20
2760	2016-01-21
2536	2016-01-22
2924	2016-01-23
3200	2016-01-24
3184	2016-01-25
2284	2016-01-26
1750	2016-01-27
1728	2016-01-28
1700	2016-01-29
1649	2016-01-30
1720	2016-01-31
1812	2016-02-01
1660	2016-02-02
1916	2016-02-03
2012	2016-02-04
1944	2016-02-05
1897	2016-02-06
2008	2016-02-07
1996	2016-02-08
1900	2016-02-09
2776	2016-02-10
3080	2016-02-11
3192	2016-02-12
3112	2016-02-13
2752	2016-02-14
2412	2016-02-15
2524	2016-02-16
2740	2016-02-17
3088	2016-02-18
3092	2016-02-19
3156	2016-02-20
2528	2016-02-21
2676	2016-02-22
169	2016-02-23
2448	2016-02-24
2444	2016-02-25
2796	2016-02-26
2404	2016-02-27
2440	2016-02-28
2264	2016-02-29
2208	2016-03-01
2612	2016-03-02
2440	2016-03-03
2872	2016-03-04
2916	2016-03-05
3832	2016-03-06
4056	2016-03-07
4084	2016-03-08
4032	2016-03-09
361	2016-03-10
3904	2016-03-11
3768	2016-03-12
3708	2016-03-13
3656	2016-03-14
3500	2016-03-15
3492	2016-03-16
3736	2016-03-17
3876	2016-03-18
4164	2016-03-19
4156	2016-03-20
4168	2016-03-21
4212	2016-03-22
4196	2016-03-23
4176	2016-03-24
4108	2016-03-25
4104	2016-03-26
4032	2016-03-27
4092	2016-03-28
4100	2016-03-29
3812	2016-03-30
3648	2016-03-31
2336	2016-04-01
2364	2016-04-02
2212	2016-04-03
2412	2016-04-04
2344	2016-04-05
2048	2016-04-06
2176	2016-04-07
2104	2016-04-08
1929	2016-04-09
2000	2016-04-10
2100	2016-04-11
2364	2016-04-12
2468	2016-04-13
2484	2016-04-14
2472	2016-04-15
2532	2016-04-16
2592	2016-04-17
2637	2016-04-18
2624	2016-04-19
